ID,TARGET
1115,0.11409177988460972
1202,0.08619538869162785
1194,-0.08782562198207937
1084,0.15122352487170115
1135,0.353810921910921
960,0.05653066444167136
1131,0.36629701997823383
996,0.04203631157969584
1085,0.13730964608323465
1063,0.19579271864109848
1035,0.06758433222142181
997,-0.045230899701056544
1042,0.09452329142005342
954,0.04434980902590662
1126,0.47568031788125287
1122,0.11052098359733019
1167,0.1473716923309668
1125,0.07530731898447524
1019,0.09609570813208275
982,0.09969792349398539
1175,0.024144002614856462
1083,0.07421674104365049
1161,0.3394311824275266
1061,0.010454390444480278
1044,0.051540002807497244
948,0.11777456925424316
949,0.12997366100488936
941,0.021328032278215794
1001,-0.07607456316435819
1190,-0.24773545640252212
943,0.10937535853249662
1011,0.3287097199076805
975,0.14545158733537156
1213,0.16642272418612417
1127,0.27083824413572954
1039,0.04880261818254343
1196,-0.15824860012009487
1171,0.09051418048123126
2028,0.3008853564244123
1746,0.07088320202661605
1608,0.2808237961527293
1356,-0.09378666113493565
2008,-0.03537862084819761
1390,-0.22258753023338992
1337,-0.2613022510621481
1830,0.1923627345077417
1217,-0.0010432526765665848
2037,0.07013740640185129
1989,0.09438586728551827
1984,0.020142538651756206
2147,0.3130306453439499
1496,0.6015289296269264
1521,0.06791123942381021
1935,-0.18705202500495607
1994,0.06207266282631336
1389,-0.14272375720632288
1433,-0.2569525979281792
1371,0.10587337083511615
1469,0.4732123592161432
1956,0.2951962303277567
1889,0.12248411815736185
1708,0.02503879267479788
2071,0.23852595548763175
1407,0.2370405719206288
1339,0.10213569359801541
1582,-0.060847719598834574
1805,0.5985549250280385
1627,-0.2089360277478379
1570,0.12201339242875463
1232,0.3002807075950677
2109,0.1621880446382044
1663,0.12102327829893537
1664,-0.28825360276644224
1590,0.06724009974894828
1465,0.2653999381499801
1466,0.159424502945907
1458,0.15793137977391833
1741,-0.5116862509476302
1245,-0.031425235420819035
1444,0.1470881990553641
1920,0.40936730590607606
1632,0.14033153878841534
1439,0.18359545770249736
1358,0.13024417348007652
1238,-0.05612405893856512
1551,0.16041205398706868
1404,-0.04702018503802796
1789,0.34615405879122896
1393,-0.09630762242723362
1668,-0.16805310836280585
1264,-0.012805632980143812
2106,-0.0691128318807277
1494,0.0103430718501963
2088,-0.11245001225948185
